Ewe/V	<I>/mA	time/s
-2.1228261E+000	-4.379282093156009E-003	5.294889877619426E+001
-2.1398017E+000	-4.425007078964649E-003	5.311709877194517E+001
-2.1566999E+000	-4.265624961940051E-003	5.328629876767081E+001
-2.1734350E+000	-4.365710236649167E-003	5.345549876339646E+001
-2.1904473E+000	-4.354502095931559E-003	5.362429875913222E+001
-2.2072401E+000	-4.492683859282115E-003	5.379229875488818E+001
-2.2242022E+000	-4.569349964751793E-003	5.396059875063656E+001
-2.2354481E+000	-4.620720269415915E-003	5.407559874773142E+001
-2.2387786E+000	-4.783884529024361E-003	5.410799874691293E+001
-2.2429862E+000	-4.576272021713276E-003	5.419369874474796E+001
-2.2312891E+000	-4.376510024447527E-003	5.436279874047614E+001
-2.2145467E+000	-4.169479891340509E-003	5.453209873619926E+001
-2.1976666E+000	-3.954813783059195E-003	5.470109873192996E+001
-2.1809800E+000	-3.785740735826632E-003	5.486959872767329E+001
-2.1640539E+000	-3.735500297101749E-003	5.503789872342168E+001
-2.1472814E+000	-3.586948055708611E-003	5.520659871915996E+001
-2.1303816E+000	-3.785055320522597E-003	5.537529871489824E+001
-2.1136885E+000	-3.382821012321638E-003	5.554419871063146E+001
-2.0966845E+000	-3.313314969041088E-003	5.571279870637227E+001
-2.0798633E+000	-3.144973113256781E-003	5.588149870211055E+001
-2.0629385E+000	-3.164423066284935E-003	5.605059869783872E+001
-2.0461531E+000	-3.264902928280342E-003	5.621939869357448E+001
-2.0292683E+000	-3.114900868562670E-003	5.638799868931528E+001
-2.0124741E+000	-3.022546271729376E-003	5.655659868505609E+001
-1.9954413E+000	-3.053490362083564E-003	5.672559868078679E+001
-1.9786638E+000	-2.962060168117120E-003	5.689459867651749E+001
-1.9616425E+000	-2.887257151506671E-003	5.706359867224819E+001
-1.9448043E+000	-2.891529503408853E-003	5.723299866796879E+001
-1.9280038E+000	-2.909180640461854E-003	5.740179866370454E+001
-1.9111497E+000	-2.909257813268330E-003	5.756999865945545E+001
-1.8941932E+000	-2.741905706298106E-003	5.773869865519373E+001
-1.8774183E+000	-2.945331831148352E-003	5.790759865092696E+001
-1.8605855E+000	-2.781583263028398E-003	5.807629864666524E+001
-1.8436621E+000	-2.629424925394881E-003	5.824519864239846E+001
-1.8267123E+000	-2.558723099855029E-003	5.841459863811906E+001
-1.8098568E+000	-2.569190278582552E-003	5.858409863383713E+001
-1.7929009E+000	-2.377461014720569E-003	5.875329862956278E+001
-1.7760079E+000	-2.470100330352901E-003	5.892249862528843E+001
-1.7590944E+000	-2.303531694189245E-003	5.909179862101155E+001
-1.7422185E+000	-2.043649287627302E-003	5.926089861673972E+001
-1.7254347E+000	-1.620852773151892E-003	5.942919861248811E+001
-1.7086539E+000	-1.129737971357490E-003	5.959749860823649E+001
-1.6916473E+000	-7.948909600610510E-004	5.976639860396972E+001
-1.6749167E+000	1.300562892014266E-004	5.993549859969789E+001
-1.6579552E+000	8.554598221488701E-004	6.010449859542859E+001
-1.6411488E+000	1.615196989065378E-003	6.027289859117445E+001
-1.6242502E+000	2.081105193461719E-003	6.044119858692284E+001
-1.6073140E+000	2.410130088837229E-003	6.061019858265354E+001
-1.5904349E+000	2.722822830936248E-003	6.077949857837666E+001
-1.5734527E+000	2.582940062861383E-003	6.094859857410484E+001
-1.5563837E+000	2.417856780110798E-003	6.111799856982543E+001
-1.5396698E+000	2.066992462685084E-003	6.128679856556118E+001
-1.5227946E+000	1.936949883808018E-003	6.145529856130452E+001
-1.5057204E+000	1.481494220733025E-003	6.162449855703017E+001
-1.4891642E+000	1.469694443159949E-003	6.179349855276087E+001
-1.4720281E+000	1.095598921658955E-003	6.196209854850167E+001
-1.4554098E+000	1.018368295356492E-003	6.213009854425763E+001
-1.4385539E+000	8.797097499466319E-004	6.229739854003128E+001
-1.4217122E+000	7.402221809621216E-004	6.246589853577461E+001
-1.4049240E+000	6.762995044823080E-004	6.263499853150279E+001
-1.3879526E+000	5.852202364607759E-004	6.280429852722591E+001
-1.3709787E+000	5.865025623745333E-004	6.297379852294398E+001
-1.3541232E+000	4.698578666897189E-004	6.314289851867215E+001
-1.3372570E+000	2.727622279799671E-004	6.331159851441043E+001
-1.3202626E+000	2.546347360835722E-004	6.348059851014114E+001
-1.3035668E+000	2.874648596558034E-004	6.364899850588699E+001
-1.2866243E+000	2.033958728339087E-004	6.381729850163538E+001
-1.2699901E+000	-2.245185412166439E-005	6.398499849739892E+001
-1.2529763E+000	-5.394362624128174E-005	6.415249849316751E+001
-1.2363371E+000	2.017928459885649E-005	6.432119848890579E+001
-1.2194179E+000	1.260099102876976E-004	6.448969848464913E+001
-1.2026263E+000	6.711342817320863E-005	6.465809848039498E+001
-1.1858553E+000	-1.781790347447557E-004	6.482589847615600E+001
-1.1690897E+000	-2.216688809376158E-004	6.499299847193470E+001
-1.1521760E+000	-2.833063456028915E-004	6.516129846768308E+001
-1.1354284E+000	-2.968535456681427E-004	6.533019846341631E+001
-1.1184739E+000	-4.117081883500510E-004	6.549909845914954E+001
-1.1016890E+000	-2.275427182488587E-004	6.566799845488276E+001
-1.0847398E+000	-2.904941886713057E-004	6.583689845061599E+001
-1.0678440E+000	-3.749120385117596E-004	6.600579844634922E+001
-1.0509049E+000	-3.786930857458091E-004	6.617459844208497E+001
-1.0341364E+000	-3.637798648884238E-004	6.634369843781315E+001
-1.0171751E+000	-3.980528959858284E-004	6.651239843355143E+001
-1.0001827E+000	-6.045601816760905E-004	6.668119842928718E+001
-9.8353779E-001	-4.267605181992205E-004	6.684989842502546E+001
-9.6661973E-001	-4.388034692018560E-004	6.701819842077384E+001
-9.4972897E-001	-5.955743668807634E-004	6.718619841652981E+001
-9.3306935E-001	-5.241471056286456E-004	6.735429841228324E+001
-9.1608214E-001	-5.585514512336963E-004	6.752279840802657E+001
-8.9935505E-001	-4.463665696826701E-004	6.769129840376991E+001
-8.8235277E-001	-5.252043890697933E-004	6.785989839951071E+001
-8.6565369E-001	-5.179507287399613E-004	6.802849839525152E+001
-8.4868616E-001	-5.933190633315125E-004	6.819709839099232E+001
-8.3194548E-001	-5.748444415419780E-004	6.836579838673060E+001
-8.1501454E-001	-5.369898461855677E-004	6.853449838246888E+001
-7.9813308E-001	-5.167150484742002E-004	6.870349837819958E+001
-7.8132254E-001	-5.113536054958360E-004	6.887219837393786E+001
-7.6427126E-001	-6.113680266047628E-004	6.904099836967362E+001
-7.4753749E-001	-5.941224430440623E-004	6.921029836539674E+001
-7.3065645E-001	-7.134535803222002E-004	6.937859836114512E+001
-7.1377194E-001	-6.937899702868901E-004	6.954679835689603E+001
-6.9698197E-001	-6.867837577678210E-004	6.971559835263179E+001
-6.8012673E-001	-7.193194614989254E-004	6.988399834837765E+001
-6.6321868E-001	-6.337621056608160E-004	7.005239834412350E+001
-6.4637738E-001	-6.425955608881616E-004	7.022119833985926E+001
-6.2946469E-001	-7.294791101876523E-004	7.039009833559248E+001
-6.1260498E-001	-7.476744632645173E-004	7.055879833133076E+001
-5.9579754E-001	-7.548238304492891E-004	7.072719832707662E+001
-5.7884127E-001	-8.461199380889383E-004	7.089579832281743E+001
-5.6206453E-001	-7.987600232191860E-004	7.106469831855065E+001
-5.4507029E-001	-7.943109047710423E-004	7.123329831429146E+001
-5.2834052E-001	-7.436337025501661E-004	7.140139831004490E+001
-5.1149231E-001	-8.481262212223402E-004	7.156959830579581E+001
-4.9477613E-001	-7.296544930019706E-004	7.173779830154672E+001
-4.7783598E-001	-6.853410734446355E-004	7.190629829729005E+001
-4.6090844E-001	-7.659945166748859E-004	7.207519829302328E+001
-4.4410473E-001	-7.089441788288367E-004	7.224399828875903E+001
-4.2726898E-001	-8.238238591163948E-004	7.241259828449984E+001
-4.1032258E-001	-8.221048907591233E-004	7.258079828025075E+001
-3.9352950E-001	-8.536112469734874E-004	7.274929827599408E+001
