cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.207124E-01   6.465938E-05   1.286144E-01
 4.230170E-01   7.546837E-05   1.290240E-01
 4.255378E-01   8.555482E-05   1.294336E-01
 4.282667E-01   9.505341E-05   1.298432E-01
 4.311948E-01   1.040465E-04   1.302528E-01
 4.343125E-01   1.125812E-04   1.306624E-01
 4.376098E-01   1.206802E-04   1.310720E-01
 4.410761E-01   1.283518E-04   1.314816E-01
 4.447000E-01   1.355946E-04   1.318912E-01
 4.484699E-01   1.355994E-04   1.323008E-01
 4.523735E-01   1.441990E-04   1.327104E-01
 4.563983E-01   1.515944E-04   1.331200E-01
 4.605311E-01   1.580159E-04   1.335296E-01
 4.647588E-01   1.636122E-04   1.339392E-01
 4.690675E-01   1.684782E-04   1.343488E-01
 4.734433E-01   1.726724E-04   1.347584E-01
 4.778722E-01   1.762304E-04   1.351680E-01
 4.823398E-01   1.791724E-04   1.355776E-01
 4.868316E-01   1.815096E-04   1.359872E-01
 4.913332E-01   1.832467E-04   1.363968E-01
 4.958300E-01   1.843853E-04   1.368064E-01
 5.003074E-01   1.849249E-04   1.372160E-01
 5.047511E-01   1.848651E-04   1.376256E-01
 5.091466E-01   1.842063E-04   1.380352E-01
 5.134797E-01   1.829485E-04   1.384448E-01
 5.177364E-01   1.810931E-04   1.388544E-01
 5.219030E-01   1.786436E-04   1.392640E-01
 5.259660E-01   1.756051E-04   1.396736E-01
 5.299123E-01   1.719838E-04   1.400832E-01
 5.337291E-01   1.677885E-04   1.404928E-01
 5.374040E-01   1.630299E-04   1.409024E-01
 5.409251E-01   1.577202E-04   1.413120E-01
 5.442811E-01   1.518739E-04   1.417216E-01
 5.474611E-01   1.455074E-04   1.421312E-01
 5.504548E-01   1.386396E-04   1.425408E-01
 5.532524E-01   1.312906E-04   1.429504E-01
 5.558449E-01   1.234838E-04   1.433600E-01
 5.582239E-01   1.152422E-04   1.437696E-01
 5.603817E-01   1.065929E-04   1.441792E-01
 5.623111E-01   9.756387E-05   1.445888E-01
 5.640060E-01   8.818411E-05   1.449984E-01
 5.654608E-01   7.848534E-05   1.454080E-01
 5.666707E-01   6.849978E-05   1.458176E-01
 5.676317E-01   5.826175E-05   1.462272E-01
 5.683407E-01   4.780611E-05   1.466368E-01
 5.687953E-01   3.716878E-05   1.470464E-01
 5.689939E-01   2.638779E-05   1.474560E-01
 5.689358E-01   1.550064E-05   1.478656E-01
 5.686210E-01   4.545886E-06   1.482752E-01
 5.680506E-01  -6.437920E-06   1.486848E-01
 5.672262E-01  -1.741116E-05   1.490944E-01
 5.661503E-01  -2.833476E-05   1.495040E-01
 5.648264E-01  -3.916909E-05   1.499136E-01
 5.632586E-01  -4.987614E-05   1.503232E-01
 5.614518E-01  -6.041734E-05   1.507328E-01
 5.594117E-01  -7.075466E-05   1.511424E-01
 5.571447E-01  -8.085220E-05   1.515520E-01
 5.546581E-01  -9.067298E-05   1.519616E-01
 5.519598E-01  -1.001832E-04   1.523712E-01
 5.490582E-01  -1.093490E-04   1.527808E-01
 5.459626E-01  -1.181388E-04   1.531904E-01
 5.426829E-01  -1.265219E-04   1.536000E-01
 5.392294E-01  -1.344698E-04   1.540096E-01
 5.356132E-01  -1.419561E-04   1.544192E-01
 5.318458E-01  -1.489559E-04   1.548288E-01
 5.279391E-01  -1.554466E-04   1.552384E-01
 5.239056E-01  -1.614075E-04   1.556480E-01
 5.197582E-01  -1.668203E-04   1.560576E-01
 5.155100E-01  -1.716684E-04   1.564672E-01
 5.111746E-01  -1.759383E-04   1.568768E-01
 5.067659E-01  -1.796177E-04   1.572864E-01
 5.022978E-01  -1.826978E-04   1.576960E-01
 4.977847E-01  -1.851712E-04   1.581056E-01
 4.932408E-01  -1.870328E-04   1.585152E-01
 4.886807E-01  -1.882802E-04   1.589248E-01
 4.841190E-01  -1.889128E-04   1.593344E-01
 4.795701E-01  -1.889326E-04   1.597440E-01
 4.750486E-01  -1.883429E-04   1.601536E-01
 4.705689E-01  -1.871498E-04   1.605632E-01
 4.661452E-01  -1.853611E-04   1.609728E-01
 4.617917E-01  -1.829862E-04   1.613824E-01
 4.575223E-01  -1.800368E-04   1.617920E-01
 4.533505E-01  -1.765257E-04   1.622016E-01
 4.492897E-01  -1.724674E-04   1.626112E-01
 4.453527E-01  -1.678789E-04   1.630208E-01
 4.415521E-01  -1.627773E-04   1.634304E-01
 4.379001E-01  -1.571820E-04   1.638400E-01
 4.344082E-01  -1.511134E-04   1.642496E-01
 4.310875E-01  -1.445926E-04   1.646592E-01
 4.279487E-01  -1.376419E-04   1.650688E-01
 4.250016E-01  -1.302855E-04   1.654784E-01
 4.222557E-01  -1.225473E-04   1.658880E-01
 4.197196E-01  -1.144526E-04   1.662976E-01
 4.174015E-01  -1.060278E-04   1.667072E-01
 4.153086E-01  -9.729874E-05   1.671168E-01
 4.134475E-01  -8.829346E-05   1.675264E-01
 4.118242E-01  -7.903888E-05   1.679360E-01
 4.104438E-01  -6.956353E-05   1.683456E-01
 4.093106E-01  -5.989592E-05   1.687552E-01
 4.084280E-01  -5.006511E-05   1.691648E-01
 4.077990E-01  -4.009961E-05   1.695744E-01
 4.074253E-01  -3.002901E-05   1.699840E-01
 4.073081E-01  -1.988288E-05   1.703936E-01
 4.074476E-01  -9.689744E-06   1.708032E-01
 4.078434E-01   5.202941E-07   1.712128E-01
 4.084940E-01   1.071818E-05   1.716224E-01
 4.093973E-01   2.087435E-05   1.720320E-01
 4.105503E-01   3.096027E-05   1.724416E-01
 4.119491E-01   4.094636E-05   1.728512E-01
 4.135892E-01   5.080464E-05   1.732608E-01
 4.154652E-01   6.050658E-05   1.736704E-01
 4.175710E-01   7.002419E-05   1.740800E-01
 4.198997E-01   7.933000E-05   1.744896E-01
 4.224439E-01   8.839655E-05   1.748992E-01
 4.251951E-01   9.719796E-05   1.753088E-01
 4.281445E-01   1.057078E-04   1.757184E-01
 4.312825E-01   1.139018E-04   1.761280E-01
 4.345989E-01   1.217541E-04   1.765376E-01
 4.380830E-01   1.292414E-04   1.769472E-01
 4.417236E-01   1.363411E-04   1.773568E-01
 4.455088E-01   1.430298E-04   1.777664E-01
 4.494264E-01   1.492876E-04   1.781760E-01
 4.534637E-01   1.550937E-04   1.785856E-01
 4.576076E-01   1.550985E-04   1.789952E-01
 4.618448E-01   1.616985E-04   1.794048E-01
 4.661616E-01   1.672145E-04   1.798144E-01
 4.705440E-01   1.718221E-04   1.802240E-01
 4.749778E-01   1.756346E-04   1.806336E-01
 4.794488E-01   1.787249E-04   1.810432E-01
 4.839424E-01   1.811392E-04   1.814528E-01
 4.884442E-01   1.829054E-04   1.818624E-01
 4.929395E-01   1.840411E-04   1.822720E-01
 4.974140E-01   1.845572E-04   1.826816E-01
 5.018530E-01   1.844598E-04   1.830912E-01
 5.062423E-01   1.837541E-04   1.835008E-01
 5.105677E-01   1.824437E-04   1.839104E-01
 5.148152E-01   1.805329E-04   1.843200E-01
 5.189711E-01   1.780260E-04   1.847296E-01
 5.230219E-01   1.749297E-04   1.851392E-01
 5.269546E-01   1.712514E-04   1.855488E-01
 5.307563E-01   1.669998E-04   1.859584E-01
 5.344149E-01   1.621866E-04   1.863680E-01
 5.379184E-01   1.568245E-04   1.867776E-01
 5.412556E-01   1.509280E-04   1.871872E-01
 5.444156E-01   1.445144E-04   1.875968E-01
 5.473881E-01   1.376023E-04   1.880064E-01
 5.501636E-01   1.302121E-04   1.884160E-01
 5.527331E-01   1.223672E-04   1.888256E-01
 5.550881E-01   1.140919E-04   1.892352E-01
 5.572211E-01   1.054119E-04   1.896448E-01
 5.591250E-01   9.635596E-05   1.900544E-01
 5.607938E-01   8.695402E-05   1.904640E-01
 5.622218E-01   7.723677E-05   1.908736E-01
 5.634045E-01   6.723747E-05   1.912832E-01
 5.643380E-01   5.698993E-05   1.916928E-01
 5.650191E-01   4.652901E-05   1.921024E-01
 5.654456E-01   3.589168E-05   1.925120E-01
 5.656160E-01   2.511439E-05   1.929216E-01
 5.655296E-01   1.423569E-05   1.933312E-01
 5.651867E-01   3.294139E-06   1.937408E-01
 5.645882E-01  -7.671710E-06   1.941504E-01
 5.637360E-01  -1.862277E-05   1.945600E-01
 5.626327E-01  -2.951996E-05   1.949696E-01
 5.612818E-01  -4.032418E-05   1.953792E-01
 5.596874E-01  -5.099637E-05   1.957888E-01
 5.578546E-01  -6.149901E-05   1.961984E-01
 5.557892E-01  -7.179409E-05   1.966080E-01
 5.534978E-01  -8.184515E-05   1.970176E-01
 5.509875E-01  -9.161628E-05   1.974272E-01
 5.482663E-01  -1.010726E-04   1.978368E-01
 5.453430E-01  -1.101819E-04   1.982464E-01
 5.422266E-01  -1.189126E-04   1.986560E-01
 5.389273E-01  -1.272339E-04   1.990656E-01
 5.354554E-01  -1.351179E-04   1.994752E-01
 5.318219E-01  -1.425381E-04   1.998848E-01
 5.280386E-01  -1.494698E-04   2.002944E-01
 5.241173E-01  -1.558913E-04   2.007040E-01
 5.200707E-01  -1.617814E-04   2.011136E-01
 5.159115E-01  -1.671221E-04   2.015232E-01
 5.116531E-01  -1.718976E-04   2.019328E-01
 5.073090E-01  -1.760943E-04   2.023424E-01
 5.028930E-01  -1.797008E-04   2.027520E-01
 4.984193E-01  -1.827076E-04   2.031616E-01
 4.939021E-01  -1.851082E-04   2.035712E-01
