cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      2.201647E+01
Amp1(mV):       8.000000E+01
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     7.450581E+01
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.506581E-01   1.346110E-04   4.096000E-02
 4.543969E-01   1.414751E-04   4.136960E-02
 4.582722E-01   1.479135E-04   4.177920E-02
 4.622714E-01   1.539045E-04   4.218880E-02
 4.663816E-01   1.594290E-04   4.259840E-02
 4.705896E-01   1.644683E-04   4.300800E-02
 4.748816E-01   1.690054E-04   4.341760E-02
 4.792439E-01   1.730239E-04   4.382720E-02
 4.836624E-01   1.765093E-04   4.423680E-02
 4.881227E-01   1.794479E-04   4.464640E-02
 4.926104E-01   1.818280E-04   4.505600E-02
 4.971111E-01   1.836388E-04   4.546560E-02
 5.016102E-01   1.848717E-04   4.587520E-02
 5.060931E-01   1.855192E-04   4.628480E-02
 5.105454E-01   1.855757E-04   4.669440E-02
 5.149527E-01   1.850379E-04   4.710400E-02
 5.193008E-01   1.839036E-04   4.751360E-02
 5.235755E-01   1.821725E-04   4.792320E-02
 5.277631E-01   1.798467E-04   4.833280E-02
 5.318501E-01   1.769296E-04   4.874240E-02
 5.358231E-01   1.734276E-04   4.915200E-02
 5.396694E-01   1.693482E-04   4.956160E-02
 5.433766E-01   1.647012E-04   4.997120E-02
 5.469326E-01   1.594986E-04   5.038080E-02
 5.503258E-01   1.537544E-04   5.079040E-02
 5.535454E-01   1.474844E-04   5.120000E-02
 5.565809E-01   1.407070E-04   5.160960E-02
 5.594225E-01   1.334425E-04   5.201920E-02
 5.620609E-01   1.257122E-04   5.242880E-02
 5.644876E-01   1.175409E-04   5.283840E-02
 5.666946E-01   1.089539E-04   5.324800E-02
 5.686748E-01   9.997923E-05   5.365760E-02
 5.704218E-01   9.064593E-05   5.406720E-02
 5.719298E-01   8.098463E-05   5.447680E-02
 5.731940E-01   7.102862E-05   5.488640E-02
 5.742100E-01   6.081064E-05   5.529600E-02
 5.749747E-01   5.036660E-05   5.570560E-02
 5.754854E-01   3.973242E-05   5.611520E-02
 5.757404E-01   2.894506E-05   5.652480E-02
 5.757388E-01   1.804257E-05   5.693440E-02
 5.754804E-01   7.062965E-06   5.734400E-02
 5.749661E-01  -3.954669E-06   5.775360E-02
 5.741974E-01  -1.497019E-05   5.816320E-02
 5.731766E-01  -2.594504E-05   5.857280E-02
 5.719069E-01  -3.684014E-05   5.898240E-02
 5.703923E-01  -4.761587E-05   5.939200E-02
 5.686376E-01  -5.823368E-05   5.980160E-02
 5.666483E-01  -6.865554E-05   6.021120E-02
 5.644307E-01  -7.884500E-05   6.062080E-02
 5.619917E-01  -8.876510E-05   6.103040E-02
 5.593392E-01  -9.838097E-05   6.144000E-02
 5.564816E-01  -1.076588E-04   6.184960E-02
 5.534279E-01  -1.165659E-04   6.225920E-02
 5.501878E-01  -1.250721E-04   6.266880E-02
 5.467716E-01  -1.331478E-04   6.307840E-02
 5.431902E-01  -1.407666E-04   6.348800E-02
 5.394550E-01  -1.479027E-04   6.389760E-02
 5.355779E-01  -1.545323E-04   6.430720E-02
 5.315712E-01  -1.606348E-04   6.471680E-02
 5.274478E-01  -1.661917E-04   6.512640E-02
 5.232206E-01  -1.711852E-04   6.553600E-02
 5.189032E-01  -1.756012E-04   6.594560E-02
 5.145094E-01  -1.794275E-04   6.635520E-02
 5.100532E-01  -1.826540E-04   6.676480E-02
 5.055487E-01  -1.852732E-04   6.717440E-02
 5.010104E-01  -1.872798E-04   6.758400E-02
 4.964526E-01  -1.886704E-04   6.799360E-02
 4.918900E-01  -1.894437E-04   6.840320E-02
 4.873371E-01  -1.896016E-04   6.881280E-02
 4.828083E-01  -1.891471E-04   6.922240E-02
 4.783181E-01  -1.880855E-04   6.963200E-02
 4.738809E-01  -1.864245E-04   7.004160E-02
 4.695108E-01  -1.841732E-04   7.045120E-02
 4.652217E-01  -1.813424E-04   7.086080E-02
 4.610273E-01  -1.779450E-04   7.127040E-02
 4.569409E-01  -1.739959E-04   7.168000E-02
 4.529756E-01  -1.695105E-04   7.208960E-02
 4.491440E-01  -1.645065E-04   7.249920E-02
 4.454583E-01  -1.590028E-04   7.290880E-02
 4.419302E-01  -1.530196E-04   7.331840E-02
 4.385709E-01  -1.465781E-04   7.372800E-02
 4.353912E-01  -1.397002E-04   7.413760E-02
 4.324011E-01  -1.324099E-04   7.454720E-02
 4.296102E-01  -1.247314E-04   7.495680E-02
 4.270272E-01  -1.166895E-04   7.536640E-02
 4.246605E-01  -1.083106E-04   7.577600E-02
 4.225175E-01  -9.962057E-05   7.618560E-02
 4.206049E-01  -9.064696E-05   7.659520E-02
 4.189288E-01  -8.141771E-05   7.700480E-02
 4.174946E-01  -7.196029E-05   7.741440E-02
 4.163066E-01  -6.230323E-05   7.782400E-02
 4.153687E-01  -5.247609E-05   7.823360E-02
 4.146837E-01  -4.250740E-05   7.864320E-02
 4.142537E-01  -3.242621E-05   7.905280E-02
 4.140800E-01  -2.226210E-05   7.946240E-02
 4.141631E-01  -1.204517E-05   7.987200E-02
 4.145026E-01  -1.803951E-06   8.028160E-02
 4.150973E-01   8.431991E-06   8.069120E-02
 4.159453E-01   1.863255E-05   8.110080E-02
 4.170436E-01   1.863729E-05   8.151040E-02
 4.183887E-01   3.204648E-05   8.192000E-02
 4.199762E-01   4.421553E-05   8.232960E-02
 4.218008E-01   5.548723E-05   8.273920E-02
 4.238566E-01   6.608127E-05   8.314880E-02
 4.261369E-01   7.613657E-05   8.355840E-02
 4.286344E-01   8.573607E-05   8.396800E-02
 4.313408E-01   9.492729E-05   8.437760E-02
 4.342474E-01   1.037329E-04   8.478720E-02
 4.373447E-01   1.121604E-04   8.519680E-02
 4.406228E-01   1.202071E-04   8.560640E-02
 4.440710E-01   1.278635E-04   8.601600E-02
 4.476782E-01   1.351158E-04   8.642560E-02
 4.514326E-01   1.419482E-04   8.683520E-02
 4.553221E-01   1.483443E-04   8.724480E-02
 4.593342E-01   1.542857E-04   8.765440E-02
 4.634558E-01   1.542905E-04   8.806400E-02
 4.676737E-01   1.610658E-04   8.847360E-02
 4.719741E-01   1.667449E-04   8.888320E-02
 4.763433E-01   1.715074E-04   8.929280E-02
 4.807670E-01   1.754696E-04   8.970240E-02
 4.852311E-01   1.787060E-04   9.011200E-02
 4.897209E-01   1.812636E-04   9.052160E-02
 4.942222E-01   1.831712E-04   9.093120E-02
 4.987202E-01   1.844468E-04   9.134080E-02
 5.032005E-01   1.851012E-04   9.175040E-02
 5.076485E-01   1.851404E-04   9.216000E-02
 5.120500E-01   1.845695E-04   9.256960E-02
 5.163907E-01   1.833915E-04   9.297920E-02
 5.206565E-01   1.816107E-04   9.338880E-02
 5.248337E-01   1.792313E-04   9.379840E-02
 5.289088E-01   1.762593E-04   9.420800E-02
 5.328685E-01   1.727013E-04   9.461760E-02
 5.367001E-01   1.685663E-04   9.502720E-02
 5.403912E-01   1.638650E-04   9.543680E-02
 5.439298E-01   1.586099E-04   9.584640E-02
 5.473045E-01   1.528154E-04   9.625600E-02
 5.505044E-01   1.464974E-04   9.666560E-02
 5.535190E-01   1.396750E-04   9.707520E-02
 5.563387E-01   1.323683E-04   9.748480E-02
 5.589542E-01   1.246000E-04   9.789440E-02
 5.613571E-01   1.163933E-04   9.830400E-02
 5.635395E-01   1.077751E-04   9.871360E-02
 5.654944E-01   9.877298E-05   9.912320E-02
 5.672154E-01   8.941592E-05   9.953280E-02
 5.686968E-01   7.973561E-05   9.994240E-02
 5.699338E-01   6.976428E-05   1.003520E-01
 5.709224E-01   5.953626E-05   1.007616E-01
 5.716592E-01   4.908589E-05   1.011712E-01
 5.721419E-01   3.845012E-05   1.015808E-01
 5.723687E-01   2.766594E-05   1.019904E-01
 5.723388E-01   1.677084E-05   1.024000E-01
 5.720523E-01   5.803379E-06   1.028096E-01
 5.715099E-01  -5.197354E-06   1.032192E-01
 5.707133E-01  -1.619228E-05   1.036288E-01
 5.696650E-01  -1.619703E-05   1.040384E-01
 5.683682E-01  -3.051467E-05   1.044480E-01
 5.668269E-01  -4.362016E-05   1.048576E-01
 5.650461E-01  -5.581827E-05   1.052672E-01
 5.630314E-01  -6.730598E-05   1.056768E-01
 5.607890E-01  -7.820794E-05   1.060864E-01
 5.583262E-01  -8.859811E-05   1.064960E-01
 5.556507E-01  -9.851662E-05   1.069056E-01
 5.527711E-01  -1.079814E-04   1.073152E-01
 5.496964E-01  -1.169962E-04   1.077248E-01
 5.464364E-01  -1.255547E-04   1.081344E-01
 5.430015E-01  -1.336447E-04   1.085440E-01
 5.394026E-01  -1.412504E-04   1.089536E-01
 5.356512E-01  -1.483548E-04   1.093632E-01
 5.317593E-01  -1.549400E-04   1.097728E-01
 5.277391E-01  -1.609886E-04   1.101824E-01
 5.236036E-01  -1.664849E-04   1.105920E-01
 5.193658E-01  -1.714136E-04   1.110016E-01
 5.150394E-01  -1.757620E-04   1.114112E-01
 5.106380E-01  -1.795186E-04   1.118208E-01
 5.061758E-01  -1.826744E-04   1.122304E-01
 5.016669E-01  -1.852224E-04   1.126400E-01
 4.971257E-01  -1.871575E-04   1.130496E-01
 4.925667E-01  -1.884773E-04   1.134592E-01
 4.880044E-01  -1.891806E-04   1.138688E-01
 4.834534E-01  -1.892697E-04   1.142784E-01
 4.789282E-01  -1.887479E-04   1.146880E-01
 4.744432E-01  -1.876207E-04   1.150976E-01
 4.700127E-01  -1.858957E-04   1.155072E-01
 4.656508E-01  -1.835825E-04   1.159168E-01
 4.613714E-01  -1.806925E-04   1.163264E-01
 4.571882E-01  -1.772385E-04   1.167360E-01
 4.531146E-01  -1.732348E-04   1.171456E-01
 4.491633E-01  -1.686976E-04   1.175552E-01
 4.453472E-01  -1.636450E-04   1.179648E-01
